Question,Option A,Option B,Option C,Option D,Correct Option,Marks
What is the capital of France?,London,Berlin,Paris,Madrid,C,1
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Saturn,A,1
What is 2 + 2?,3,4,5,6,B,1
Who wrote Romeo and Juliet?,Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,B,1
What is the chemical symbol for Gold?,Ag,Au,Fe,Pb,B,1
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D,1
Who painted the Mona Lisa?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Claude Monet,B,2
What is the speed of light?,300000 km/s,150000 km/s,200000 km/s,250000 km/s,A,1
What is the smallest prime number?,0,1,2,3,C,1
In which year did World War II end?,1943,1944,1945,1946,C,1
What is the chemical formula for water?,H2O,CO2,O2,H2SO4,A,1
Which programming language is known as the backbone of web development?,Python,JavaScript,Java,C++,B,2
What is the square root of 144?,10,11,12,13,C,1
Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Galileo Galilei,Stephen Hawking,B,2
What is the capital of Japan?,Beijing,Seoul,Tokyo,Bangkok,C,1
Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C,1
What is the largest mammal in the world?,African Elephant,Blue Whale,Giraffe,Polar Bear,B,1
What is the boiling point of water at sea level?,90°C,95°C,100°C,105°C,C,1
Who is known as the father of computers?,Charles Babbage,Alan Turing,Bill Gates,Steve Jobs,A,2
What is the smallest unit of life?,Atom,Molecule,Cell,Organ,C,1
Which continent is the largest by area?,Africa,Asia,North America,Europe,B,1
What is the binary representation of decimal 8?,1000,1001,1010,1100,A,2
Who wrote the play Hamlet?,Christopher Marlowe,William Shakespeare,Ben Jonson,John Milton,B,1
What is the chemical symbol for Iron?,Ir,Fe,In,I,B,1
What is the value of Pi to two decimal places?,3.12,3.14,3.16,3.18,B,1
Which organ pumps blood throughout the human body?,Liver,Kidney,Heart,Lungs,C,1
What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,C,1
Which element has the atomic number 1?,Helium,Hydrogen,Lithium,Carbon,B,1
What is the primary programming language used for Android app development?,Swift,Kotlin,Python,Ruby,B,2
What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,C,1
Who invented the telephone?,Thomas Edison,Alexander Graham Bell,Nikola Tesla,Guglielmo Marconi,B,2
What is the main component of the Sun?,Hydrogen,Helium,Oxygen,Carbon,A,2
Which data structure uses LIFO (Last In First Out)?,Queue,Stack,Array,Tree,B,2
What is 15% of 200?,25,30,35,40,B,1
Who is the author of Harry Potter series?,J.R.R. Tolkien,J.K. Rowling,C.S. Lewis,George R.R. Martin,B,1
What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Golgi Apparatus,B,2
In which country is the Great Wall located?,Japan,India,China,Mongolia,C,1
What is the freezing point of water in Fahrenheit?,0°F,32°F,100°F,212°F,B,1
Which protocol is used for secure web browsing?,HTTP,FTP,HTTPS,SMTP,C,2
What is the capital of Canada?,Toronto,Vancouver,Ottawa,Montreal,C,1
How many sides does a hexagon have?,5,6,7,8,B,1
What is the most abundant gas in Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,C,1
Who painted The Starry Night?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,B,2
What is the smallest country in the world?,Monaco,Vatican City,San Marino,Liechtenstein,B,1
What does HTML stand for?,Hyper Text Markup Language,High Tech Modern Language,Home Tool Markup Language,Hyperlinks Text Mode Language,A,2
What is the square of 9?,18,72,81,90,C,1
Which planet is closest to the Sun?,Venus,Earth,Mercury,Mars,C,1
What is the main function of the CPU in a computer?,Store data,Process instructions,Display graphics,Connect to internet,B,2
Who discovered penicillin?,Marie Curie,Alexander Fleming,Louis Pasteur,Robert Koch,B,2
What is the capital of Brazil?,São Paulo,Rio de Janeiro,Brasília,Salvador,C,1
