Question,Option A,Option B,Option C,Option D,Correct Option,Marks
If a train travels 180 km in 3 hours what is its average speed?,50 km/h,55 km/h,60 km/h,65 km/h,C,2
A shopkeeper gives 15% discount on marked price. What is the sale price of an item marked at Rs. 500?,Rs. 400,Rs. 425,Rs. 450,Rs. 475,B,2
What is 25% of 80?,15,20,25,30,B,1
If 5 workers can complete a task in 12 days how many days will 10 workers take?,3 days,6 days,8 days,10 days,B,2
What is the next number in the series: 2 4 8 16 ?,20,24,28,32,D,2
A bag contains 5 red and 3 blue balls. What is the probability of drawing a red ball?,3/8,5/8,1/2,2/3,B,2
If the cost price of an item is Rs. 400 and selling price is Rs. 500 what is the profit percentage?,20%,25%,30%,35%,B,2
What is the area of a rectangle with length 10 cm and width 5 cm?,40 cm²,45 cm²,50 cm²,55 cm²,C,1
Complete the pattern: A C E G ?,H,I,J,K,B,2
If today is Monday what day will it be after 100 days?,Monday,Tuesday,Wednesday,Thursday,B,2
What is the HCF of 12 and 18?,2,3,6,9,C,2
A man invested Rs. 10000 at 5% simple interest per annum. What will be the amount after 2 years?,Rs. 10500,Rs. 11000,Rs. 11500,Rs. 12000,B,2
What is the LCM of 4 and 6?,8,12,16,24,B,2
If A is taller than B and B is taller than C who is the shortest?,A,B,C,Cannot determine,C,1
What is the value of 2³ + 3²?,15,17,19,21,B,1
A clock shows 3:30. What is the angle between hour and minute hands?,60°,75°,90°,105°,B,3
In a code language if BOOK is written as CPPL how is DESK written?,EFTL,EFTM,DFTL,CFTL,A,2
What is the average of 10 20 30 40 and 50?,25,30,35,40,B,1
If 3x + 5 = 20 what is the value of x?,3,4,5,6,C,2
What comes next in the sequence: 1 1 2 3 5 8 ?,11,12,13,14,C,2
A person can walk 10 km in 2 hours. How far can they walk in 5 hours at the same speed?,20 km,25 km,30 km,35 km,B,1
What is 15² - 10²?,125,175,200,225,A,2
If the ratio of men to women in a class is 3:2 and there are 15 men how many women are there?,8,10,12,14,B,2
What is the perimeter of a square with side 7 cm?,21 cm,24 cm,28 cm,32 cm,C,1
In which direction does the sun rise?,North,South,East,West,C,1
What is the capital city of India?,Mumbai,Delhi,Kolkata,Chennai,B,1
Complete the analogy: Doctor : Hospital :: Teacher : ?,School,Court,Office,Library,A,1
What is the decimal equivalent of the fraction 3/4?,0.5,0.6,0.75,0.8,C,1
If a person earns Rs. 500 per day how much will they earn in 30 days?,Rs. 12000,Rs. 15000,Rs. 18000,Rs. 20000,B,1
What is the cube root of 27?,2,3,4,5,B,1
In a family of 6 members there are 2 parents and their children. What is the minimum number of bedrooms needed if each child has a separate room?,2,3,4,5,C,2
What is the sum of angles in a triangle?,90°,180°,270°,360°,B,1
If it takes 5 machines 5 minutes to make 5 widgets how long would it take 100 machines to make 100 widgets?,5 minutes,10 minutes,20 minutes,100 minutes,A,3
A can do a work in 10 days and B can do it in 15 days. How many days will they take working together?,6 days,7 days,8 days,9 days,A,3
What is 20% of 250?,40,45,50,55,C,1
If a book has 300 pages and you read 75 pages what percentage have you completed?,20%,25%,30%,35%,B,2
What is the smallest two-digit prime number?,10,11,12,13,B,1
In a group of 50 students 30 play cricket and 25 play football. How many play both if everyone plays at least one game?,5,10,15,20,A,3
What is the value of π (pi) approximately?,2.14,3.14,4.14,5.14,B,1
If x + y = 10 and x - y = 2 what is the value of x?,4,5,6,7,C,3
How many months have 31 days?,5,6,7,8,C,1
What is the Roman numeral for 50?,L,C,D,M,A,1
If the temperature is 25°C what is it in Fahrenheit approximately?,50°F,60°F,70°F,77°F,D,2
What is the sum of first 10 natural numbers?,45,50,55,60,C,2
A father is 30 years older than his son. If the son is 10 years old how old is the father?,30,35,40,45,C,1
What is 0.5 expressed as a fraction?,1/4,1/3,1/2,2/3,C,1
How many sides does an octagon have?,6,7,8,9,C,1
What is the value of 10!/(9! × 1!)?,9,10,11,90,B,3
If a car travels at 80 km/h for 2.5 hours what distance does it cover?,150 km,180 km,200 km,220 km,C,2
What is the median of the numbers: 3 7 9 12 15?,7,9,10,12,B,2
